"Exports", "Експорти"
"Filters", "Фільтри"
"Shares", "Акції"
"Markdown", "Уцінка"
"Provider", "Поставник"
"General", "Основне"
"Disable", "Вимкнений"
"Enable", "Увімкнений"
"Add New", "Створити новий"
"Export Name", "Назва експорту"
"File Name", "Ім'я файлу"
"Status", "Статус"
"Format", "Формат"
"Categories", "Категорії"
"Quantity filter", "Кількісний фільтр"
"Generated file", "Згенерований файл"
"Export ID", "ID Експорту"
"Save Export", "Зберегти експорт"
"Generate", "Згенерувати"
"Exports are generated", "Еспорти згенеровані"
"Manage Exports", "Управління Експортами"
"Export Information", "Інформація Експорту"
"Export file created", "Файл експорту створено"
"Are you sure?", "Ви впевнені?"
"Delete Export", "Видалити експорт"
"New Export", "Новий експорт"
"Save and Continue Edit", "Сохранити та продовжити редагування"
"Edit Export", "Редагування експорту"
"Generate Export", "Згенерувати експорт"
"General information", "Основна інформація"
"There is no generated file", "Не має згенерованого файлу"
"Filter by quantity", "Фільтр по кількості"
"Filter by shares", "Фільтр по акціям"
"Filter by markdown", "Фільтр по уцінці"
"Filter by provider", "Фільтр по поставнику"

